Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Galgenberg, Hildesheim (31134)",190.000 € 3.800 €/m²,"1,5 Zimmer",50 m²,frei ab sofort,https://www.immowelt.de/expose/5e91263a-1dac-445d-9b76-a7fcfbb8fa3d
"Sorsum, Hildesheim (31139)",499.000 € 3.809 €/m²,4 Zimmer,131 m²,223 m² Grundstück,https://www.immowelt.de/expose/91a1a8be-797a-4e3e-97d3-68fe078672c6
"Mitte, Hildesheim (31134)",699.000 € 5.944 €/m²,4 Zimmer,"117,6 m²",Unknown,https://www.immowelt.de/expose/51c246ea-6b97-4f50-9774-0c4437df9ce4
"Mitte, Hildesheim (31134)",599.000 € 6.192 €/m²,2 Zimmer,"96,7 m²",Unknown,https://www.immowelt.de/expose/4cf2fb46-df46-4b32-8605-a200a48c347f
"Neuhof, Hildesheim (31139)",395.000 € 3.180 €/m²,5 Zimmer,114 m²,193 m² Grundstück,https://www.immowelt.de/expose/05a23709-87f3-4672-8a45-df3ddf5346a2
"Himmelsthürer Straße 4, Moritzberg, Hildesheim (31139)",149.000 € 1.713 €/m²,3 Zimmer,87 m²,Unknown,https://www.immowelt.de/expose/c6328255-86c4-4751-b270-193591c8ed1e
"Sorsum, Hildesheim (31139)",469.000 € 3.876 €/m²,4 Zimmer,121 m²,Unknown,https://www.immowelt.de/expose/8e3dffb4-648b-4ba7-906f-2434668d60a9
"Sorsum, Hildesheim (31139)",499.000 € 3.890 €/m²,4 Zimmer,"128,3 m²",1. Geschoss,https://www.immowelt.de/expose/8419f988-0da9-42bc-b043-7d67d1e41452
"Sorsum, Hildesheim (31139)",419.000 € 3.273 €/m²,4 Zimmer,128 m²,Unknown,https://www.immowelt.de/expose/2090094b-a3f4-466c-bbb7-65bc4e8f6ef6
"Sorsum, Hildesheim (31139)",569.000 € 4.704 €/m²,4 Zimmer,121 m²,Unknown,https://www.immowelt.de/expose/a994ed17-6883-4d85-90d6-bd13b8d2a23e
"Sorsum, Hildesheim (31139)",499.000 € 3.219 €/m²,4 Zimmer,155 m²,285 m² Grundstück,https://www.immowelt.de/expose/f301904c-9975-426e-b239-d74e4dc2044c
