Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
DragonerstraÃŸe, Oldenburg (26135),439.000 3.991,5 Zimmer,110 m²,420 m² Grundstuck,https://www.immowelt.de/expose/021d04e9-c6ea-4685-9c53-954d7afc2afa,4004,"DragonerstraÃŸe,  Oldenburg (26135)",0
HÃ¶rneweg 63 b, Oldenburg (26129),459.000 5.427,3 Zimmer,"84,6 m²",EG,https://www.immowelt.de/expose/58cb5bca-0bfa-46f1-8c9e-361cd9509996,4004,"HÃ¶rneweg 63 b,  Oldenburg (26129)",0
Kaspersweg, Oldenburg (26131),579.500 2.327,10 Zimmer,"249,2 m²","831,2 m² Grundstuck",https://www.immowelt.de/expose/b2acb6fb-4e4d-4223-8582-fdb88eb8ad09,4004,"Kaspersweg,  Oldenburg (26131)",166
Dietrichsfeld, Oldenburg (26127),283.500 4.049,2 Zimmer,70 m²,EG,https://www.immowelt.de/expose/c1b9fa91-87b4-4a92-9d00-9646ec66cf4b,4004,"Dietrichsfeld,  Oldenburg (26127)",144
Ehnern, Oldenburg (26121),Preis auf Anfrage,4 Zimmer,"112,8 m²",151 m² Grundstuck,https://www.immowelt.de/expose/0e93ccd0-86a8-4206-8dff-4a02b734ab9e,4004,"Ehnern,  Oldenburg (26121)",258
Ehnern, Oldenburg (26121),Preis auf Anfrage,4 Zimmer,"95,4 m²",162 m² Grundstuck,https://www.immowelt.de/expose/329e0086-2e93-4c46-8a1c-e7344b5a6c23,4004,"Ehnern,  Oldenburg (26121)",258
Ofenerdiek, Oldenburg (26125),569.000 2.747,6 Zimmer,"207,2 m²",614 m² Grundstuck,https://www.immowelt.de/expose/f7d874e3-b4e4-404a-9edf-14c9b602b961,4004,"Ofenerdiek,  Oldenburg (26125)",160
Dietrichsfeld, Oldenburg (26127),189.000 2.589,3 Zimmer,73 m²,Unknown,https://www.immowelt.de/expose/7a7b78ed-ecb9-4897-9439-be3098a49ab6,4004,"Dietrichsfeld,  Oldenburg (26127)",144
Alexanderfeld, Oldenburg / Alexandersfeld (26127),549.000 3.477,4 Zimmer,"157,9 m²",566 m² Grundstuck,https://www.immowelt.de/expose/a9cdc13b-c74a-4b58-a2c5-6554c9b467a4,4004,"Alexanderfeld,  Oldenburg / Alexandersfeld (26127)",0
Ofenerdiek, Oldenburg / Ofenerdiek (26125),481.760 3.542,4 Zimmer,136 m²,543 m² Grundstuck,https://www.immowelt.de/expose/30f82cbf-16a2-42fd-aacc-dcb54ceb19a7,4004,"Ofenerdiek,  Oldenburg / Ofenerdiek (26125)",173
