Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL,city_id,full_address,score
KÃ¶nigsbrugge, Bielefeld / Innenstadt - Ost (33604),295.000 2.892,4 Zimmer,102 m²,1. Geschoss,https://www.immowelt.de/expose/6d7cf923-9791-4092-9e94-4a14f54a6a89,2616,"KÃ¶nigsbrugge,  Bielefeld / Innenstadt - Ost (33604)",0
Putlos, Bielefeld / Innenstadt - Ost (33604),319.500 4.353,3 Zimmer,"73,4 m²",1. Geschoss,https://www.immowelt.de/expose/3b861082-6143-4a9b-bb28-e8afe517ec55,2616,"Putlos,  Bielefeld / Innenstadt - Ost (33604)",0
KÃ¶nigsbrugge, Bielefeld / Innenstadt - Ost (33604),399.500 4.340,4 Zimmer,"92,1 m²",1. Geschoss,https://www.immowelt.de/expose/1954c7ce-34a0-4c18-a350-22a6703a7da4,2616,"KÃ¶nigsbrugge,  Bielefeld / Innenstadt - Ost (33604)",0
KÃ¶nigsbrugge, Bielefeld / Innenstadt - Ost (33604),389.500 4.369,3 Zimmer,"89,2 m²",2. Geschoss,https://www.immowelt.de/expose/0344f5a1-8f0e-40d5-b887-53ca5cfacfae,2616,"KÃ¶nigsbrugge,  Bielefeld / Innenstadt - Ost (33604)",0
KÃ¶nigsbrugge, Bielefeld / Innenstadt - Ost (33604),365.000 4.369,3 Zimmer,"83,6 m²",Unknown,https://www.immowelt.de/expose/035ea9b4-4161-44e3-ad0a-55aea2c18cf4,2616,"KÃ¶nigsbrugge,  Bielefeld / Innenstadt - Ost (33604)",0
Bauerschaft Schildesche, Bielefeld (33609),448.000 3.672,5 Zimmer,122 m²,293 m² Grundstuck,https://www.immowelt.de/expose/e633222c-66c4-4299-b77f-d444af15965e,2616,"Bauerschaft Schildesche,  Bielefeld (33609)",0
Bauerschaft Schildesche, Bielefeld (33609),458.000 3.754,5 Zimmer,122 m²,362 m² Grundstuck,https://www.immowelt.de/expose/5439ee5f-e0d1-4273-b6b8-597fcd28c84d,2616,"Bauerschaft Schildesche,  Bielefeld (33609)",0
Kesselbrink, Bielefeld (33602),299.000 2.769,1 Zimmer,108 m²,EG,https://www.immowelt.de/expose/93917220-5189-4d14-a328-da4291266e90,2616,"Kesselbrink,  Bielefeld (33602)",651
LÃ¤mmkenstatt, Bielefeld (33729),339.000 2.080,"5,5 Zimmer",163 m²,721 m² Grundstuck,https://www.immowelt.de/expose/16d5bc85-778d-498a-94e2-08f62ca534d8,2616,"LÃ¤mmkenstatt,  Bielefeld (33729)",0
Habelschwerdter Weg 8, Bielefeld (33605),268.000 3.526,3 Zimmer,76 m²,1. Geschoss,https://www.immowelt.de/expose/90860542-2b75-4ff1-a76e-974fb27e0134,2616,"Habelschwerdter Weg 8,  Bielefeld (33605)",53
Habelschwerdter Weg 8, Bielefeld (33605),159.000 3.975,2 Zimmer,40 m²,3. Geschoss,https://www.immowelt.de/expose/88af16bc-06c9-4397-b693-93b10956b36a,2616,"Habelschwerdter Weg 8,  Bielefeld (33605)",53
Kupferheide, Bielefeld (33649),464.950 4.266,3 Zimmer,109 m²,EG,https://www.immowelt.de/expose/eb1bda7e-1c8a-48bc-8349-1e1c1be2c313,2616,"Kupferheide,  Bielefeld (33649)",39
Kupferheide, Bielefeld (33649),471.113 4.244,4 Zimmer,111 m²,EG,https://www.immowelt.de/expose/da18d7bc-edb6-4c97-880e-0ebcbb27c2ed,2616,"Kupferheide,  Bielefeld (33649)",39
Kupferheide, Bielefeld (33649),672.563 4.257,4 Zimmer,158 m²,Unknown,https://www.immowelt.de/expose/b31445a5-08ba-417a-bce4-ffe77af97a0c,2616,"Kupferheide,  Bielefeld (33649)",39
Hammer-Muhle, Bielefeld (33607),330.000 1.650,9 Zimmer,200 m²,605 m² Grundstuck,https://www.immowelt.de/expose/04bbc712-dcbf-452f-bfff-279b2c060bf6,2616,"Hammer-Muhle,  Bielefeld (33607)",217
Sennestadt, Bielefeld (33689),160.000 2.286,2 Zimmer,70 m²,1. Geschoss,https://www.immowelt.de/expose/e6f9027c-9961-4c8e-b00b-b31f024ae2dd,2616,"Sennestadt,  Bielefeld (33689)",179
Buschkamp, Bielefeld (33659),575.000 3.744,6 Zimmer,"153,6 m²",851 m² Grundstuck,https://www.immowelt.de/expose/3972bfd0-4cea-4623-97bf-71f9436b3a00,2616,"Buschkamp,  Bielefeld (33659)",6
Kupferheide, Bielefeld (33649),471.113 4.244,4 Zimmer,111 m²,EG,https://www.immowelt.de/expose/8b2aec4d-cc4f-423e-8af8-bab260c852b0,2616,"Kupferheide,  Bielefeld (33649)",39
Kupferheide, Bielefeld (33649),459.000 4.250,3 Zimmer,108 m²,EG,https://www.immowelt.de/expose/ef7add56-0c3a-4358-9b6b-a0504e968405,2616,"Kupferheide,  Bielefeld (33649)",39
Oldentrup - West, Bielefeld (33719),175.000 2.108,3 Zimmer,83 m²,5. Geschoss,https://www.immowelt.de/expose/9040e3dc-350a-4838-835f-a6cca26badd4,2616,"Oldentrup - West,  Bielefeld (33719)",0
Kupferheide, Bielefeld (33649),2.538.738 4.250,"597,4 m²",877 m² Grundstuck,Unknown,https://www.immowelt.de/expose/a195e7b3-d279-4773-ae4e-a78f1ed23f6e,2616,"Kupferheide,  Bielefeld (33649)",39
Vorwerk Schildesche, Bielefeld (33611),579.000 2.824,8 Zimmer,205 m²,1.113 m² Grundstuck,https://www.immowelt.de/expose/1e84c4e1-f503-495e-b2a9-d18a7ee5704d,2616,"Vorwerk Schildesche,  Bielefeld (33611)",114
Sieker, Bielefeld (33605),450.000 4.500,100 m²,Unknown,Unknown,https://www.immowelt.de/expose/c3f4b070-5090-47ca-8df3-3f0d2016c244,2616,"Sieker,  Bielefeld (33605)",112
Kammerich, Bielefeld (33647),350.000 4.268,82 m²,Unknown,Unknown,https://www.immowelt.de/expose/baf9b55a-eec7-456f-b78c-b9b48f847641,2616,"Kammerich,  Bielefeld (33647)",3
Sudbrack, Bielefeld (33611),450.000 4.500,100 m²,Unknown,Unknown,https://www.immowelt.de/expose/0b51932c-df08-43ce-82c4-8782092f5c44,2616,"Sudbrack,  Bielefeld (33611)",99
Ummeln, Bielefeld (33649),350.000 4.268,82 m²,Unknown,Unknown,https://www.immowelt.de/expose/7c6e6a9b-7bab-43af-a0ed-76bc77596b1a,2616,"Ummeln,  Bielefeld (33649)",57
Heeper Holz, Bielefeld (33719),450.000 4.500,100 m²,Unknown,Unknown,https://www.immowelt.de/expose/f7c87199-f816-4e86-836b-6b96ed6f3f79,2616,"Heeper Holz,  Bielefeld (33719)",33
Hillegossen, Bielefeld (33699),350.000 4.268,82 m²,Unknown,Unknown,https://www.immowelt.de/expose/b14a5cd1-9e8f-45bb-b069-2ddc37b46c2e,2616,"Hillegossen,  Bielefeld (33699)",36
Sennestadt, Bielefeld (33689),450.000 4.500,100 m²,Unknown,Unknown,https://www.immowelt.de/expose/38116ab6-ddf2-40db-a5c2-a365c791719d,2616,"Sennestadt,  Bielefeld (33689)",179
Welscher, Bielefeld (33729),350.000 4.268,82 m²,Unknown,Unknown,https://www.immowelt.de/expose/ff75c553-74d5-4765-9500-94cbeeec38b3,2616,"Welscher,  Bielefeld (33729)",124
Windelsbleiche, Bielefeld (33659),350.000 4.268,82 m²,Unknown,Unknown,https://www.immowelt.de/expose/b61f7a9d-33f8-459d-bb1a-13c9ad998c23,2616,"Windelsbleiche,  Bielefeld (33659)",37
Bethel, Bielefeld (33604),450.000 4.500,100 m²,Unknown,Unknown,https://www.immowelt.de/expose/47943223-1957-484f-bc7e-e5ad5574912b,2616,"Bethel,  Bielefeld (33604)",103
Am Alten Dreisch 50, Bielefeld (33605),369.900 5.254,3 Zimmer,"70,4 m²",Unknown,https://www.immowelt.de/expose/5b523fc9-5705-49de-b825-5b016e5e0c9e,2616,"Am Alten Dreisch 50,  Bielefeld (33605)",36
Quelle, Bielefeld / Quelle (33649),670.000 3.526,7 Zimmer,190 m²,603 m² Grundstuck,https://www.immowelt.de/expose/d8a51993-0dd1-47a7-a797-72cd5a84f975,2616,"Quelle,  Bielefeld / Quelle (33649)",50
