city_ID;City_name;population
631;Weiding;0
632;Waffenbrunn;0
633;Treffelstein;0
634;Stamsried;0
635;Schorndorf;39697
636;Schönthal;0
637;Runding;0
638;Rimbach;0
639;Pösing;0
640;Pemfling;0
641;Hohenwarth;0
642;Grafenwiesen;0
643;Gleißenberg;0
644;Blaibach;0
645;Arrach;0
646;Arnschwang;0
647;Arnbruck;0
648;Lohberg;0
649;Miltach;0
650;Chamerau;0
651;Lam;0
652;Eschlkam;0
653;Traitsching;0
654;Neukirchen b. Hl. Blut;0
655;Waldmünchen;0
656;Kötzting;0
657;Furth i. Wald;0
658;Roding;0
659;Wildenberg;0
660;Train;0
661;Teugn;0
662;Siegenburg;0
663;Rohr i. NB;0
664;Painten;0
665;Mindelstetten;0
666;Kirchdorf;0
667;Ihrlerstein;0
668;Hausen;0
669;Essing;0
670;Saal a.d. Donau;0
671;Riedenburg;0
672;Altmannstein;0
673;Neustadt a.d. Donau;0
674;Abensberg;0
675;Zeitlarn;0
676;Wolfsegg;0
677;Walderbach;0
678;Wald;0
679;Rettenbach;0
680;Reichenbach;0
681;Pielenhofen;0
682;Pettendorf;0
683;Michelsneukirchen;0
684;Kallmünz;0
685;Duggendorf;0
686;Deuerling;0
687;Brennberg;0
688;Altenthann;0
689;Beratzhausen;0
690;Wenzenbach;0
691;Laaber, Brunn;0
692;Sinzing;0
693;Teublitz;0
694;Hemau;0
695;Nittendorf;0
696;Maxhütte-Haidhof;0
697;Lappersdorf;0
698;Burglengenfeld;0
699;Wiesent;0
700;Thalmassing;0
701;Tegernheim;0
702;Sünching;0
703;Pfatter;0
704;Pfakofen;0
705;Mötzing;0
706;Mintraching;0
707;Köfering;0
708;Hagelstadt;0
709;Donaustauf;0
710;Barbing;0
711;Bach an der Donau;0
712;Aufhausen;0
713;Alteglofsheim;0
714;Wörth an der Donau;0
715;Obertraubling;0
716;Pentling;0
717;Bad Abbach;0
718;Neutraubling;0
719;Regensburg;129151
720;Weiherhammer;0
721;Waldthurn;0
722;Trabitz;0
723;Tännesberg;0
724;Störnstein;0
725;Schwarzenbach;0
726;Schirmitz;0
727;Reuth b. Erbendorf;0
728;Püchersreuth;0
729;Pleystein;0
730;Pirk;0
731;Parkstein;0
732;Moosbach;0
733;Mantel;0
734;Luhe-Wildenau;0
735;Leuchtenberg;0
736;Krummennaab;0
737;Kohlberg;0
738;Kaltenbrunn;0
739;Bechtsried;0
740;Georgenberg;0
741;Flossenbürg;0
742;Etzenricht;0
743;Eslarn;0
744;Pressath;0
745;Floß;0
746;Erbendorf;0
747;Windischeschenbach;0
748;Altenstadt a.d. Waldnaab;0
749;Neustadt a.d. Waldnaab;0
750;Vohenstrauß;0
751;Winklarn;0
752;Trausnitz;0
753;Thanstein;0
754;Teunz;0
755;Stulln;0
756;Stadlern;0
757;Schwarzach b. Nabburg;0
758;Schmidgaden;0
759;Niedermurach;0
760;Guteneck;0
761;Dieterskirchen;0
762;Schönsee;0
763;Pfreimd;0
