Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Innenstadt, Coburg (96450)",139.000 € 2.129 €/m²,"65,3 m²",EG,Unknown,https://www.immowelt.de/expose/540e68a1-c6bd-4121-9a27-3cc48dba3d82
"Beiersdorf, Coburg (96450)",549.000 € 2.801 €/m²,"7,5 Zimmer",196 m²,1.020 m² Grundstück,https://www.immowelt.de/expose/0de2ab9f-3770-4151-9ce8-308e5b855554
"Cortendorf, Coburg (96450)",239.000 € 1.593 €/m²,6 Zimmer,150 m²,485 m² Grundstück,https://www.immowelt.de/expose/72240f78-6501-48e1-8040-1bf6d6ae7cc3
"Innenstadt, Coburg (96450)",500.739 € 3.912 €/m²,4 Zimmer,128 m²,890 m² Grundstück,https://www.immowelt.de/expose/98eac867-781d-43f3-8ee8-0eef7ad0442e
"Innenstadt, Coburg (96450)",507.989 € 3.503 €/m²,"5,5 Zimmer",145 m²,890 m² Grundstück,https://www.immowelt.de/expose/621ee984-8319-42ab-9f64-13bf1d454e27
"Innenstadt, Coburg (96450)",536.279 € 2.883 €/m²,"6,5 Zimmer",186 m²,890 m² Grundstück,https://www.immowelt.de/expose/ff7e6b02-2d93-43d8-900f-3c4dd7cf4303
"Neuses, Coburg (96450)",569.000 € 2.453 €/m²,6 Zimmer,214 m²,831 m² Grundstück,https://www.immowelt.de/expose/a6ccc8fb-bbe3-4685-9994-b096bcff4943
"Creidlitz, Coburg (96450)",365.000 € 2.517 €/m²,5 Zimmer,145 m²,469 m² Grundstück,https://www.immowelt.de/expose/09d66c4a-9fe0-4c58-80fd-9551c6d024a3
"Innenstadt, Coburg (96450)",98.500 € 1.970 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/eda37ea7-663b-4a52-b2b4-1bd7b1152a7b
"Innenstadt, Coburg (96450)",139.000 € 2.075 €/m²,2 Zimmer,67 m²,Unknown,https://www.immowelt.de/expose/1f83b974-759d-40f9-bfa7-ba36e5e1ff1c
"Scheuerfeld, Coburg (96450)",79.000 € 1.113 €/m²,4 Zimmer,71 m²,421 m² Grundstück,https://www.immowelt.de/expose/6a7948e7-d21d-4d11-92cc-0bf88729073d
"Innenstadt, Coburg (96450)",98.500 € 1.970 €/m²,50 m²,Unknown,Unknown,https://www.immowelt.de/expose/1dd7d8cf-b847-40a4-9a0d-c6067d652db4
"Innenstadt, Coburg (96450)",139.000 € 2.075 €/m²,67 m²,Unknown,Unknown,https://www.immowelt.de/expose/fb89a7f5-75d4-4e42-96f0-df9150bf5c3a
"Innenstadt, Coburg (96450)",145.000 €,Unknown,Unknown,Unknown,https://www.immowelt.de/expose/4317d365-f88f-4163-9d87-e8e2b18d2219
"Innenstadt, Coburg (96450)",98.500 € 1.970 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/50d2d3db-ca51-4da0-93ea-a93d0d49f365
"Innenstadt, Coburg (96450)",139.000 € 2.075 €/m²,2 Zimmer,67 m²,Unknown,https://www.immowelt.de/expose/dfe21486-da1c-46ca-9374-b6a2230a3d48
"Seifartshofstraße xxx, Innenstadt, Coburg (96450)",98.500 € 1.970 €/m²,2 Zimmer,50 m²,Unknown,https://www.immowelt.de/expose/efd74ffb-0077-4e3b-a082-05081cc9da2d
"Seifartshofstraße xxx, Innenstadt, Coburg (96450)",139.000 € 2.075 €/m²,2 Zimmer,67 m²,Unknown,https://www.immowelt.de/expose/dd03b4ca-0ee8-4a2b-91b4-948b461f5689
